央视频道,#genre#
J2,http://103.45.68.47:666/gy/gy817/xsj.php?id=j2
星河,http://103.45.68.47:666/gy/gy817/xsj.php?id=tvb-xinghe
娱乐新闻,http://103.45.68.47:666/gy/gy817/xsj.php?id=TVB ylxw
千禧经典,http://103.45.68.47:666/gy/gy817/xsj.php?id=tvb-classic
无线体育财经资讯,http://103.45.68.47:666/gy/gy817/xsj.php?id=tvb-finance
粤语片,http://103.45.68.47:666/gy/gy817/xsj.php?id=tvb-yueyu
明珠台,http://103.45.68.47:666/gy/gy817/xsj.php?id=pearl
亚洲剧台,http://103.45.68.47:666/gy/gy817/xsj.php?id=tvb-asia-drama
华语剧台,http://103.45.68.47:666/gy/gy817/xsj.php?id=tvb-drama
凤凰卫视资讯台,http://103.45.68.47:666/gy/gy817/xsj.php?id=phtv-info
凤凰卫视中文台,http://103.45.68.47:666/gy/gy817/xsj.php?id=phtv-cn
凤凰卫视香港台,http://103.45.68.47:666/gy/gy817/xsj.php?id=phtv-hk
Now 剧集台,http://103.45.68.47:666/gy/gy817/xsj.php?id=nowjjt
Now 新闻台,http://103.45.68.47:666/gy/gy817/xsj.php?id=now-news
Now 财经台,http://103.45.68.47:666/gy/gy817/xsj.php?id=now-finance
Now 直播台,http://103.45.68.47:666/gy/gy817/xsj.php?id=now-direct
天映HD,http://103.45.68.47:666/gy/gy817/xsj.php?id=celestial
天映经典,http://103.45.68.47:666/gy/gy817/xsj.php?id=cccm
hoytv,http://103.45.68.47:666/gy/gy817/xsj.php?id=hoytv
hoy资讯,http://103.45.68.47:666/gy/gy817/xsj.php?id=hoy-info
rthk31,http://103.45.68.47:666/gy/gy817/xsj.php?id=rthk31
rthk32,http://103.45.68.47:666/gy/gy817/xsj.php?id=rthk32
澳门莲花,http://103.45.68.47:666/gy/gy817/xsj.php?id=lotustv
澳门资讯,http://103.45.68.47:666/gy/gy817/xsj.php?id=amzx
星卫电影,http://103.45.68.47:666/gy/gy817/xsj.php?id=star-movies
纬来电影,http://103.45.68.47:666/gy/gy817/xsj.php?id=videoland-movie
东森电影,http://103.45.68.47:666/gy/gy817/xsj.php?id=ebc-movie
卫视电影,http://103.45.68.47:666/gy/gy817/xsj.php?id=star-chinese-movies
龙华电影,http://103.45.68.47:666/gy/gy817/xsj.php?id=ltv-movies
ELTA 影剧,http://103.45.68.47:666/gy/gy817/xsj.php?id=elta-drama
好莱坞电影,http://103.45.68.47:666/gy/gy817/xsj.php?id=hollywood-tw
龙祥电影,http://103.45.68.47:666/gy/gy817/xsj.php?id=lstime
靖天电影,http://103.45.68.47:666/gy/gy817/xsj.php?id=jtdy
美亚电影,http://103.45.68.47:666/gy/gy817/xsj.php?id=meiah-movies
台视,http://103.45.68.47:666/gy/gy817/xsj.php?id=ttv
8TV,http://103.45.68.47:666/gy/gy817/xsj.php?id=8tv
Astro AEC,http://103.45.68.47:666/gy/gy817/xsj.php?id=astro-aec
Astro 华丽台,http://103.45.68.47:666/gy/gy817/xsj.php?id=astro-wahlaitoi
Channel U,http://103.45.68.47:666/gy/gy817/xsj.php?id=channel-u
Channel 5,http://103.45.68.47:666/gy/gy817/xsj.php?id=channel-5
