港台频道,#genre#
Eurosport 1 HD,http://ali.hlspull.yximgs.com/live/mEw1kWtJnaEL2v6mKDw8uqqXt4qlcfsZ.flv
TNT Sports 3 HD,http://ali.hlspull.yximgs.com/live/lZimsgGxEHnppKyw3d4rM3eT4vi2ImqS.flv
True premier football 1 HD,http://ali.hlspull.yximgs.com/live/I6RrViRC7lEDj0MzounBpIEtWJXfE6WQ.flv
八大精彩台 FHD,http://ali.hlspull.yximgs.com/live/fe3rTS9Y2IjO4lQpHZxKhhI7ZKssEOp4.flv
TNT Sports 2 FHD,http://ali.hlspull.yximgs.com/live/e1aoA2c7XXQxbCkgjBmmrY312e028gLu.flv
博斯运动2 HD,http://ali.hlspull.yximgs.com/live/IKT1xP9XbC8J5ncn8rVF81WGedKjgj5X.flv
astro Arena HD,http://ali.hlspull.yximgs.com/live/DtcnzAZiO5xp4Tyi3QuFWmIziLxcNMNs.flv
Laliga TV FHD,http://ali.hlspull.yximgs.com/live/GvgUEjkcaPfgWuwJdW6aPfAugWLQkoeJ.flv
NBC Golf HD,http://ali.hlspull.yximgs.com/live/3K16GSMVUfUXEcagTlZsZ0pCSbDjoUGe.flv
博斯网球 HD,http://ali.hlspull.yximgs.com/live/7iXBsLGSDASBc7CaSLBHN0F9N1jz2pjz.flv
FS1 HD,http://ali.hlspull.yximgs.com/live/u14VSQZvqWedY9XeMt8Qy7NLYSitTSL9.flv
博斯运动1 FHD,http://ali.hlspull.yximgs.com/live/l1OzwzK1DCnjAozG4vBoDxiLuohnP09W.flv
WWE HD,http://ali.hlspull.yximgs.com/live/Rtj4sYAR8WlWjSgUW4ugERBFHYFUbmRA.flv
TNT Sports 4 FHD,http://ali.hlspull.yximgs.com/live/6g5Eg6DPKs8kwM8GwrCXRThwRnnXVvCZ.flv
博斯无限2 HD,http://ali.hlspull.yximgs.com/live/nE64huNKAMJsdF27udCkASMUx5jc5qVf.flv
Premier Sports HD,http://ali.hlspull.yximgs.com/live/5BlZSpQDxZRYTx4QP1FM9v5tYNJEr64o.flv
三立台湾台 FHD,http://ali.hlspull.yximgs.com/live/cTa60pPtaUFzoSoTZRb2sP49rN36uptW.flv
FS2 HD,http://ali.hlspull.yximgs.com/live/iTENfdlCYzpPSzQV84HPy8lWkeeNvZLY.flv
好莱坞电影 FHD,http://ali.hlspull.yximgs.com/live/ll9jaBbYtoot4338wEAdzXEQ0O6QQOZC.flv
CBS SPORTS HD,http://ali.hlspull.yximgs.com/live/6LRGp2hDjr6AvEPuqtU9NoVNrNTeNCRD.flv
民视第一台 HD,http://ali.hlspull.yximgs.com/live/HcFXX9MwfzI3PI1m5kiy9yfAdWHgQsoi.flv
三立都会台 FHD,http://ali.hlspull.yximgs.com/live/6o2126JLYTbYHAcBr0WSji5DXFmkrk3m.flv
东森电影 FHD,http://ali.hlspull.yximgs.com/live/XS2mjE7oz6Na7fEs2epetJfDxyJSmpMC.flv
东森戏剧 FHD,http://ali.hlspull.yximgs.com/live/fSVmqYq9dvrEMpEf3QPXazJjKlr3Wl9c.flv
龙祥时代 FHD,http://ali.hlspull.yximgs.com/live/AqOUKfqmPl8YGE3GMuX8LkOurWJkxs7T.flv
天映频道 HD,http://ali.hlspull.yximgs.com/live/vB9BeapN5v7ZVgvRd3EaEMJnDM2b4FCb.flv
ELEVEN体育2台 FHD,http://ali.hlspull.yximgs.com/live/n9dWSurm3Q228mmAgqut2wtrstcLMsVF.flv
星卫HD电影台,http://ali.hlspull.yximgs.com/live/pS1nFZBvWYE0VPDjDISVdOJG9oR5dZj7.flv
卫视中文台 FHD,http://ali.hlspull.yximgs.com/live/x5V6RMBRr20d0FBDzmBqpSa2TvPYTxHK.flv
阿里郎 HD,http://ali.hlspull.yximgs.com/live/eTeEWX8uUZKMy2kEdrNJygU7vOWXnAWc.flv
SONY PIX FHD,http://ali.hlspull.yximgs.com/live/bD6GgqeuHR1ldaVqWugr04WwUQN5Vcdn.flv
国家地理野生 HD,http://ali.hlspull.yximgs.com/live/oDdHDXNMn68r7ukMDMcCaTZAYJTbyO2U.flv
TSN 2,http://ali.hlspull.yximgs.com/live/gwul44aBn88bOyBGpARgkRekZ9b7e0v7.flv
HBO强档 FHD,http://ali.hlspull.yximgs.com/live/Gmo3xstIE6r0rkxTgltxAlue8093yqNH.flv
Sky Sports Main Event FHD,http://ali.hlspull.yximgs.com/live/8VwmqOiqYhXZ4pJbVcOGUsTbCEEgX8fG.flv
Sky Sports Golf FHD,http://ali.hlspull.yximgs.com/live/Kcrop3TuphHz5U7uRgupTYKgSPEP2QjF.flv
亚洲旅游台 HD,http://ali.hlspull.yximgs.com/live/ZmoX1a09NsLnxcIOOhHP7fiynjg4XcE8.flv
天映经典,http://ali.hlspull.yximgs.com/live/fj5jLeHKMSbUpk6x1c9Styze29fIIsRx.flv
香港国际财经台 FHD,http://ali.hlspull.yximgs.com/live/7xt7sGoEHG7b0GVhSBIOqUQV7M3jHZKf.flv
SPECTRUM SPORTSNET HD,http://ali.hlspull.yximgs.com/live/NklMLYAQQvmiCRUo2bnuiYUWQU5IZh5o.flv
NBA TV FHD,http://ali.hlspull.yximgs.com/live/1HyyLD3PxHsxoVd3dKE4VyngXl53R9dd.flv
SONY sports 1 FHD,http://ali.hlspull.yximgs.com/live/IFbYA1Av3YUTG5khqDxc5IOxEUFzouJv.flv
探索频道 FHD,http://ali.hlspull.yximgs.com/live/3vWllJMhBy2p3LDMouf3Zq5ixfjne8wa.flv
BOO HD,http://ali.hlspull.yximgs.com/live/QBGngrQlOH8NNpdqQgPH6FLvlo5FbTFp.flv
HBO HD,http://ali.hlspull.yximgs.com/live/pHbDwIBKfzE1ID6JBzB4SAToLC7BOdZA.flv
探索动力 HD,http://ali.hlspull.yximgs.com/live/QSwdbz8VFbK1rFwXKBOy0V60mBIGQev0.flv
TVBS FHD,http://ali.hlspull.yximgs.com/live/iTnxUI7U6EQqdjMcUJzPAhUIiCN9LrB3.flv
BBC earth HD,http://ali.hlspull.yximgs.com/live/vNypSrhKQPYDa7a6MC1Kre8tF7ydKjlt.flv
探索科学 FHD,http://ali.hlspull.yximgs.com/live/rV4vdg8fQIpPta8st9bhj4nxT7RtRAlZ.flv
龙华偶像 HD,http://ali.hlspull.yximgs.com/live/hUAUcZ8sqPDjL9PCswMPoPhjVeK0wgnH.flv
动物星球 FHD,http://ali.hlspull.yximgs.com/live/2gy5HFHrwuJrWlMNIIAkUHfHxImlu6F6.flv
CI罪案侦缉 HD,http://ali.hlspull.yximgs.com/live/MqsMUzvSiFV058KCaBJsycNyjwEPggNT.flv
中视新闻 FHD,http://ali.hlspull.yximgs.com/live/6YaDfZZs2Tv088iB66MENtpnGgYiBmdy.flv
探索亚洲 HD,http://ali.hlspull.yximgs.com/live/BvaBK8BpGgeqzEpupcqKslSCU7a2oj1Y.flv
sky news FHD,http://ali.hlspull.yximgs.com/live/rA2gaZcUPSSXWxMrW47XS2MX35R6Xpgl.flv
Hits Movies HD,http://ali.hlspull.yximgs.com/live/0EbIEq0BwsX4fH6Jp34jEYkxIcmvSO0X.flv
台视新闻 FHD,http://ali.hlspull.yximgs.com/live/qdWmsUOnrxF02HuXX9n6Kc1Nj1di4Bug.flv
STAR MOVIES FHD,http://ali.hlspull.yximgs.com/live/SJ5LCmxHfVh3ln0kycJLvaVbjX0z7lX8.flv
TLC旅游生活 HD,http://ali.hlspull.yximgs.com/live/Q2s9pYMwHyQGKTxJS2UCL6jikqMBbz3m.flv
东森新闻 FHD,http://ali.hlspull.yximgs.com/live/SEn2fJRUXWMvSOJLhm970d0I3Eufk31c.flv
东森财经新闻 FHD,http://ali.hlspull.yximgs.com/live/fRs1gYgm0V2WRjlYlPYo1Ia7htYGLmXd.flv
tvN Movies HD,http://ali.hlspull.yximgs.com/live/7DkGwDuxJIuXsPOZDGMoZzvUgtEutoFO.flv
寰宇新闻台 FHD,http://ali.hlspull.yximgs.com/live/wD8iTo3HhIfYvye01bKMuQakWrX16XG7.flv
华视新闻资讯 HD,http://ali.hlspull.yximgs.com/live/nF9RxD8hEipVEYKRHA3NjlkEqfuqp7iC.flv
中天新闻 FHD,http://ali.hlspull.yximgs.com/live/zSxfyayRkwwXv5kSBiPlsRmd3YKrkZvS.flv
壹新闻 HD,http://ali.hlspull.yximgs.com/live/rkE01r7xJOzZQEUXMhseMPXmzyq4Gnph.flv
RT FHD,http://ali.hlspull.yximgs.com/live/3jPPjvvEboG3kPQAk9Rbkx6p4Qe2d8BJ.flv
博斯高球1 HD,http://ali.hlspull.yximgs.com/live/ZvzO9eshsUPLJC5VOOIy79rUnbJDBoPR.flv
DW TV HD,http://ali.hlspull.yximgs.com/live/VGWoWhdqhaX5CaTBEyJ0Akyy4avygaFQ.flv
AlJazeera FHD,http://ali.hlspull.yximgs.com/live/jOSyktlkrB79vhoy0HO7VdKmglZWNP0i.flv
CBS News HD,http://ali.hlspull.yximgs.com/live/JcgVbOmJyhp3DPk6ezLGjJhPj5zbP9dN.flv
三立inews新闻 FHD,http://ali.hlspull.yximgs.com/live/2hXdplxkuCNdlYzbPM5e7jkGLnUkCdMg.flv
非凡新闻 HD,http://ali.hlspull.yximgs.com/live/UX6a7SC57j1um49YnxrkaousJF0zlLVm.flv
Thrill恐怖台,http://ali.hlspull.yximgs.com/live/Mf83olU33wmL9PDPLmOPNxZtA44ocu9r.flv
Bloomberg HD,http://ali.hlspull.yximgs.com/live/bCwRXPltmf7Mgex4WltFUW50FMs7YTIe.flv
华藏卫视 FHD,http://ali.hlspull.yximgs.com/live/zPiBCNCHUzuQOj01t3A52StAcZhn4r1W.flv
FOX NEWS HD,http://ali.hlspull.yximgs.com/live/lwdgYnW2jSPyDZv0ksf3VP3TmYVa01Ce.flv
One Golf HD,http://ali.hlspull.yximgs.com/live/bdOuyFc1Z4EysAXCltj6Zxkbyt0YWAFx.flv
CGTN HD,http://ali.hlspull.yximgs.com/live/IUt9yzmLOhdRskWb8jncMtfPXcXKqxRY.flv
爱奇艺 HD,http://ali.hlspull.yximgs.com/live/Fi66usEEH7d3pvXRBcNMu409hloh4hqe.flv
astro AEC FHD,http://ali.hlspull.yximgs.com/live/piGzbESge9Qn6ZOUEkxiTogplH6kNFqz.flv
CNBC FHD,http://ali.hlspull.yximgs.com/live/6aADotLIMslFh6be5053sebKk4SJGZTy.flv
astro 全佳 HD,http://ali.hlspull.yximgs.com/live/c0nMkQmNhzi08X2llhZfYL0VZg7cJiKt.flv
France 24 FHD,http://ali.hlspull.yximgs.com/live/kMyZandRFk3OyeqIgEiBVB3xM0ZlnSww.flv
凤凰中文 HD,http://ali.hlspull.yximgs.com/live/xpcdpy8enn3YuW7GGyc8KafGe4Vlocqs.flv
now星影台 HD,http://ali.hlspull.yximgs.com/live/jGhwuwfd8gVjMhqNZjAE1XYvvwol6pkH.flv
CN卡通频道 HD,http://ali.hlspull.yximgs.com/live/sUNJkNkQ7txXYqSmqsAJvpJWitw6Lld5.flv
凤凰资讯 HD,http://ali.hlspull.yximgs.com/live/e32T2f6LjkxGKCE4YPehwkr61cZH9eBu.flv
now爆谷台 HD,http://ali.hlspull.yximgs.com/live/GFHvk5r6wIRf4g98JxUoIWO0HIIDN4oV.flv
astro 小太阳 HD,http://ali.hlspull.yximgs.com/live/WIP0RVFKZsQVBwEvFW1XNyQMoDlJR5uQ.flv
ABC NEWS HD,http://ali.hlspull.yximgs.com/live/gntPTiMYuWYFezxn5orMJsm2QNglERF7.flv
True premier football 2 HD,http://ali.hlspull.yximgs.com/live/gCxfChTXXZDUTh0k8LSnHGYGRK0mJ5Ua.flv
爱尔达体育1台 HD,http://ali.hlspull.yximgs.com/live/7M57lN7L5v4TH5WIbbMZe9uGTa3uVRXJ.flv
BBC World News HD,http://ali.hlspull.yximgs.com/live/0szd8ceX6j5IwLj3ldcUvBmEfghaRN4v.flv
Now Sports PRIME HD,http://ali.hlspull.yximgs.com/live/UYVljtbGpEvFYLg3PpTMwgjPPXju3yUs.flv
东森幼幼 FHD,http://ali.hlspull.yximgs.com/live/Co0egKFaaWic58y2kbVPcmLJjp2Jo2PJ.flv
Now Sports 7 HD,http://ali.hlspull.yximgs.com/live/Nl2Iy3U40rHr6SZXRnfZ0iXTo6nbY3Hu.flv
Golf HD,http://ali.hlspull.yximgs.com/live/AZoxjjR5kkIL389mYhlPKfMWmcsJgM9C.flv
千禧经典台 HD,http://ali.hlspull.yximgs.com/live/k0ZzIbGOQgWoBWfGT4c2yUhtmMbhfesV.flv
年代新闻 FHD,http://ali.hlspull.yximgs.com/live/vSvyTgC8K9oMpx5lfsoIQ8Zt1O2Me24G.flv
CP24 HD,http://ali.hlspull.yximgs.com/live/suNODa9FKxFcq0FjiDMK4rK9VUpDvVg8.flv
MUTV CLASSIC HD,http://ali.hlspull.yximgs.com/live/AofKaCs6ipUYwJrgXSszrMlAzGLWzbKa.flv
新唐人亚太台 HD,http://ali.hlspull.yximgs.com/live/8IUZBzr3miLbFtdr1pIuwcNT0xWwWFsE.flv
SUPER Kids Channel HD,http://ali.hlspull.yximgs.com/live/2r3PbGF6CU24HpYi3vBRRlvIRdBt98zQ.flv
