港台频道,#genre#
阿里郎 HD,http://ali.hlspull.yximgs.com/live/rerVpzpnAcq4N9V4GDRWeDtznsk6jfcS.flv
靖天国际台 HD,http://ali.hlspull.yximgs.com/live/SbmAJosU6BxAChGS0m7Xv8tY8573AHdk.flv
纬来日本 FHD,http://ali.hlspull.yximgs.com/live/9MIWWnc1Cf7AHZ9xvzs7XPR27rM7h12G.flv
博斯高球1 HD,http://ali.hlspull.yximgs.com/live/cYfqeta2uRr5oNCKh6bc4Tpd3W4a9X1N.flv
博斯高球2 HD,http://ali.hlspull.yximgs.com/live/t4BMXso901v5tvApMNvQvAih2ifePhRa.flv
SONY sports 3 FHD,http://ali.hlspull.yximgs.com/live/5Bul6vQz6JVM0HcfPnlSonp4yzmhmSEa.flv
纬来体育 FHD,http://ali.hlspull.yximgs.com/live/MPBv4U8XHY0hKbKny9h9QBsODcpahCQa.flv
ELEVEN体育1台 FHD,http://ali.hlspull.yximgs.com/live/3BhMHNrhZgeNoV7pIw4xOJsvibSu8H64.flv
NBA TV FHD,http://ali.hlspull.yximgs.com/live/7dqsDYiqDp3P9EIPBORWX8eja813Ezcg.flv
爱尔达影剧 HD,http://ali.hlspull.yximgs.com/live/oCwx4FJv9YLkfc8aYHXSP7jTpnpImjUF.flv
ELEVEN体育2台 FHD,http://ali.hlspull.yximgs.com/live/7Z8a1wvSe8OYQb2FAfLEI9EPhYj6kmYJ.flv
博斯运动1 FHD,http://ali.hlspull.yximgs.com/live/76kiAxN2wUIXDDt9VnkMLM4o1uxStCUg.flv
博斯网球 HD,http://ali.hlspull.yximgs.com/live/4rPF6JOMrTynrti2kFVlhirFTcBfGmgC.flv
SONY sports 1 FHD,http://ali.hlspull.yximgs.com/live/LxkKrE7ZYYk5zGmWXnUFNSqPiPNdS10R.flv
TSN 2,http://ali.hlspull.yximgs.com/live/f0bLB3r8xm72TsEbd1CJpfSrMLlkn0y9.flv
博斯运动2 HD,http://ali.hlspull.yximgs.com/live/h9gmuhbNG0b2990V1T4Pu2ek8fEfY9mn.flv
Premier Sports FHD,http://ali.hlspull.yximgs.com/live/mnaCdpDTnvCiEszhvKCgnvphdylBHXU4.flv
靖天卡通台 HD,http://ali.hlspull.yximgs.com/live/KFWP4D6E2E9SbXRa4rnCJx0UYl8876sC.flv
NBC Golf HD,http://ali.hlspull.yximgs.com/live/VL32Q763ndmqvY0vX92RNjol7wvxrO4T.flv
WWE HD,http://ali.hlspull.yximgs.com/live/UV5qXWvzXfSvodcViKG6COOhMxWJ61MO.flv
